Nectarine;3;1;4;3;5;1;3;5;5;1;4;5;5;5;5;5;3;4;3;5;4;4;5;5;3;3;4;4;3;4;4;4
Peach;2;5;4;4;5;5;5;5;5;4;4;5;5;4;3;5;5;5;4;5;4;5;5;5;2;4;5;4;3;5;4;5
Mango;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;3;5;5;4;5;5;5;5;4;5;4;5
Banana;4;2;5;5;3;4;4;5;5;4;2;5;4;4;4;3;5;1;5;5;3;4;5;3;4;3;3;4;4;4;4;4
Grapefruit;5;1;3;3;2;1;3;1;1;1;4;5;4;5;4;4;3;1;1;5;2;5;5;5;3;4;2;5;2;4;3;2
Orange;5;1;4;4;3;4;5;5;5;1;4;5;4;5;5;4;5;3;5;5;3;4;2;4;3;5;3;4;4;3;5;4
Plum;5;3;3;4;5;2;4;5;5;1;4;4;4;2;2;4;4;3;5;4;4;3;5;3;4;4;3;4;3;3;5;3
Kiwi;5;5;3;3;3;2;4;5;5;1;4;3;4;4;5;5;5;3;4;5;3;4;5;5;5;4;3;4;3;4;4;1
Apple;4;4;4;3;4;4;5;5;5;1;4;5;4;4;4;2;4;4;2;2;5;3;5;3;2;5;3;3;2;3;5;5
Pear;4;5;4;3;5;3;4;5;5;1;4;5;4;4;4;3;4;3;5;5;5;4;5;4;5;5;4;3;5;4;4;4
Berries;4;5;4;4;5;1;5;5;5;2;5;5;4;5;5;4;3;5;5;5;5;5;5;5;4;3;3;5;3;5;4;5
Watermelon;5;5;5;5;5;4;3;5;5;4;5;5;5;5;5;4;5;5;5;4;5;4;5;4;3;5;5;4;5;5;4;4
Grapes;5;5;4;4;5;2;5;5;5;2;4;4;5;5;5;3;5;4;3;5;5;4;5;5;4;5;3;5;3;3;4;3
Cherries;5;1;3;4;4;1;5;5;4;1;4;3;5;5;5;4;3;3;5;5;5;4;3;4;5;1;3;4;3;4;3;5
Dried fruit;3;2;3;4;3;1;2;2;4;2;2;3;5;4;2;5;3;2;5;3;1;3;2;5;2;2;4;3;2;2;2;2
Corn, 1 ear;3;3;2;4;3;2;2;5;5;4;4;5;4;4;5;3;5;4;5;5;5;4;5;4;4;5;3;3;2;4;2;4
Beets;2;1;1;2;3;1;3;5;4;2;2;5;4;4;4;4;3;2;5;2;2;5;4;4;2;4;3;1;2;3;3;4
Cabbage;3;5;4;2;4;1;3;5;3;2;4;4;4;4;3;3;4;2;4;3;3;3;2;2;2;3;3;2;3;2;3;5
Cauliflower;2;5;5;2;4;1;3;5;4;4;4;5;3;4;3;3;4;2;4;4;3;3;5;3;5;2;3;4;4;4;3;4
Celery;4;5;1;2;4;4;4;5;4;3;4;4;2;4;1;2;4;1;4;3;4;4;4;5;3;1;3;4;3;3;4;2
Cucumber;4;5;3;5;4;5;4;1;5;4;4;4;3;4;5;4;3;4;5;4;4;4;5;5;3;3;3;4;3;4;4;4
Eggplant;4;5;1;3;4;1;3;1;3;3;4;4;5;5;1;4;5;3;5;4;2;2;5;2;4;1;3;1;3;4;5;5
Mushrooms;4;5;5;4;4;1;5;5;4;5;5;4;5;5;2;3;5;1;5;5;1;4;3;4;3;5;3;4;3;5;5;5
Peppers, bell;2;5;1;4;3;1;5;1;5;3;4;5;5;4;5;3;5;5;2;5;4;5;5;4;3;1;3;1;3;5;3;2
Spinach;2;5;4;3;4;5;5;5;4;4;4;5;5;5;3;4;4;5;5;3;5;4;5;2;4;4;3;4;4;5;3;3
Tomato;4;5;5;4;4;1;5;3;5;2;2;5;4;4;3;3;4;5;5;5;5;3;5;2;1;3;3;4;2;4;2;3
Turnip;2;3;1;3;3;1;3;5;2;2;2;5;4;4;3;2;3;1;1;2;4;5;5;1;3;4;3;2;2;2;2;3
Zucchini;4;3;5;2;5;1;3;1;4;4;5;5;4;4;1;2;3;5;4;4;3;3;5;3;3;5;3;2;3;4;2;4
Whole grain Cereal cold;4;4;1;4;4;1;5;5;4;4;4;2;4;4;2;2;4;2;5;3;5;5;4;1;3;4;2;2;2;3;4;5
Plain popcorn;2;2;1;4;2;1;4;5;4;2;4;4;4;4;3;2;4;2;5;3;5;4;5;3;4;3;3;5;3;3;2;3
Whole grain Bread;2;5;3;3;3;1;4;5;5;2;4;4;4;4;4;2;4;3;5;2;3;4;2;4;4;3;2;4;2;4;4;3
Barley;3;3;1;2;2;1;3;5;3;2;2;4;4;2;3;1;3;2;5;2;3;3;3;3;3;4;2;3;3;2;2;3
Bulgur;3;3;1;3;2;3;3;5;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;1;3
Wild rice;1;3;5;4;4;1;3;5;5;2;3;2;5;4;4;4;3;3;4;4;4;3;4;5;3;5;2;4;3;4;1;3
Whole grain pasta/noodles;4;3;4;4;5;2;4;5;5;4;4;4;5;4;4;4;5;2;5;4;4;2;3;3;4;5;2;4;4;4;4;3
Whole wheat couscous;3;5;1;4;5;1;3;5;5;4;2;4;3;4;5;3;3;1;4;4;3;3;4;5;3;5;2;4;3;3;4;3
Potato;4;2;3;5;5;4;5;4;5;5;5;4;4;5;5;1;5;5;5;4;5;4;5;4;5;5;3;5;3;5;4;3
Brown rice;1;2;1;4;4;1;5;5;5;4;4;2;4;4;5;2;3;4;5;5;4;3;3;5;4;4;2;4;3;4;4;3
Whole grain Muffin;2;3;1;4;3;1;2;5;4;2;3;3;4;4;2;3;4;4;5;4;4;4;1;3;4;4;2;2;3;3;3;3
Whole wheat waffle;4;3;1;4;3;1;2;5;2;4;4;2;4;2;5;2;5;3;4;3;4;2;1;2;5;4;3;2;3;3;3;4
Whole grain Bagel;4;5;1;4;4;1;1;5;3;2;4;5;4;4;4;3;4;3;5;3;3;3;1;4;4;4;2;2;3;4;3;4
Whole grain Pita;2;3;1;4;4;1;2;5;4;3;3;2;4;4;4;4;3;3;5;3;4;3;4;3;2;4;3;3;3;3;3;3
Whole wheat tortilla;2;3;1;4;4;1;2;5;4;3;3;5;4;4;4;3;3;3;5;3;4;4;4;3;4;4;3;3;3;4;2;3
Sweet potato;5;5;1;3;5;1;2;5;5;4;4;5;5;5;2;4;5;5;5;4;3;5;5;5;3;5;5;5;3;5;4;3
Milk;4;5;5;3;3;1;5;5;5;5;1;2;5;1;1;4;5;3;4;3;5;5;2;1;5;5;2;3;3;5;3;5
Fortified soy beverage;3;3;3;2;5;1;5;3;1;4;5;4;5;1;2;2;5;1;5;5;3;2;5;4;2;3;5;3;3;3;2;3
Milk, powdered;4;1;2;2;2;1;3;3;1;2;1;1;3;1;3;2;5;1;3;2;1;1;4;1;3;1;1;2;2;2;1;1
Evaporated canned milk;2;1;3;2;3;1;3;5;2;4;1;1;3;1;1;3;3;1;5;4;3;2;5;1;3;4;2;4;2;4;1;3
Cheese, block;2;1;2;5;3;5;3;2;5;2;3;5;5;5;4;4;3;4;2;5;4;4;5;3;5;5;2;4;2;5;2;4
Yogurt;5;5;1;4;3;4;5;5;5;4;4;5;4;4;2;3;5;4;5;5;5;5;5;1;5;4;2;4;3;4;3;4
Cheese, cottage or quark;2;1;3;4;3;1;3;1;3;2;3;5;4;5;3;4;4;3;4;3;4;3;5;1;5;2;1;2;3;3;1;3
Trout;3;5;5;2;3;1;5;5;4;4;3;5;4;5;3;2;5;3;4;2;3;4;5;2;2;4;4;3;3;4;2;3
Squid;4;5;5;1;3;2;5;5;4;5;3;3;5;4;3;2;5;4;1;4;3;2;4;2;3;3;4;4;3;5;4;4
Tuna;4;5;1;3;4;2;5;5;5;5;4;3;5;4;3;3;4;4;5;4;2;4;5;4;4;5;4;5;3;5;4;5
Egg;5;5;5;4;4;1;5;5;5;5;4;2;5;4;2;4;5;5;5;4;5;5;5;1;5;3;4;1;3;4;4;5
Sardines;3;1;5;2;2;1;5;5;3;3;2;1;3;4;3;3;5;1;4;4;4;3;3;1;2;3;4;4;3;4;2;3
Beans, yellow;3;1;1;4;3;1;3;5;5;2;3;4;3;4;5;1;3;1;4;4;5;3;4;3;3;3;3;3;2;5;1;3
Herring;3;1;1;2;3;1;3;5;1;4;3;3;3;4;3;3;3;1;4;2;3;3;5;1;4;4;3;3;3;3;1;3
